start station name,counts
Lexington Ave & E 24 St,2259
Lexington Ave & E 29 St,2031
Liberty St & Broadway,2137
Lispenard St & Broadway,1468
Little West St & 1 Pl,1268
MLSWKiosk,2
MacDougal St & Prince St,2333
MacDougal St & Washington Sq,1689
Macon St & Nostrand Ave,684
Madison St & Clinton St,548
Madison St & Montgomery St,546
Maiden Ln & Pearl St,1423
Market St & Cherry St,961
Mercer St & Bleecker St S,2496
Mercer St & Spring St,2305
Metropolitan Ave & Bedford Ave,1599
Monroe St & Bedford Ave,283
Monroe St & Classon Ave,221
Mott St & Prince St,2843
Murray St & West St,2183
Myrtle Ave & St Edwards St,235
NYCBS Depot - DEL,351
NYCBS Depot - FAR,787
NYCBS Depot - SSP,390
NYCBS Test,189
Nassau St & Navy St,359
Norfolk St & Broome St,1424
Old Fulton St,1867
Old Slip & Front St,1497
Park Ave & St Edwards St,89
Pearl St & Anchorage Pl,1196
Pearl St & Hanover Square,2043
Peck Slip & Front St,397
Perry St & Bleecker St,1546
Pershing Square North,3861
Pershing Square South,2908
Pike St & E Broadway,943
Pike St & Monroe St,567
Pitt St & Stanton St,516
Railroad Ave & Kay Ave,295
Reade St & Broadway,1503
Rivington St & Chrystie St,1831
Rivington St & Ridge St,1051
S 3 St & Bedford Ave,890
S 4 St & Wythe Ave,803
S 5 Pl & S 5 St,1921
S Portland Ave & Hanson Pl,423
Sands St & Navy St,153
Shevchenko Pl & E 7 St,544
South End Ave & Liberty St,493
South St & Gouverneur Ln,2307
South St & Whitehall St,1565
Spruce St & Nassau St,1625
St James Pl & Oliver St,985
St James Pl & Pearl St,721
St Marks Pl & 1 Ave,2046
St Marks Pl & 2 Ave,2651
Stanton St & Chrystie St,1799
Stanton St & Mangin St,638
State St & Smith St,1368
Suffolk St & Stanton St,1961
Sullivan St & Washington Sq,1798
University Pl & E 14 St,2923
Vesey Pl & River Terrace,4105
W 11 St & 6 Ave,1900
W 13 St & 5 Ave,761
W 13 St & 6 Ave,2460
W 13 St & 7 Ave,1764
W 14 St & The High Line,2889
W 15 St & 7 Ave,2879
W 16 St & The High Line,2381
W 17 St & 8 Ave,2424
W 18 St & 6 Ave,2251
W 20 St & 11 Ave,5983
W 20 St & 7 Ave,2435
W 20 St & 8 Ave,2295
W 21 St & 6 Ave,2659
W 22 St & 10 Ave,2526
W 22 St & 8 Ave,2175
W 24 St & 7 Ave,2472
