end station name,counts
Lexington Ave & E 24 St,2273
Lexington Ave & E 29 St,1933
Liberty St & Broadway,2043
Lispenard St & Broadway,1584
Little West St & 1 Pl,1290
MLSWKiosk,2
MacDougal St & Prince St,2184
MacDougal St & Washington Sq,1461
Macon St & Nostrand Ave,642
Madison St & Clinton St,561
Madison St & Montgomery St,550
Maiden Ln & Pearl St,1485
Market St & Cherry St,951
Mercer St & Bleecker St S,2418
Mercer St & Spring St,2283
Metropolitan Ave & Bedford Ave,1734
Monroe St & Bedford Ave,295
Monroe St & Classon Ave,190
Mott St & Prince St,2806
Murray St & West St,2205
Myrtle Ave & St Edwards St,214
NYCBS Depot - DEL,336
NYCBS Depot - FAR,788
NYCBS Depot - SSP,395
NYCBS Test,184
Nassau St & Navy St,383
Norfolk St & Broome St,1339
Old Fulton St,1892
Old Slip & Front St,1419
Park Ave & St Edwards St,82
Pearl St & Anchorage Pl,1204
Pearl St & Hanover Square,2059
Peck Slip & Front St,411
Perry St & Bleecker St,1496
Pershing Square North,3178
Pershing Square South,2390
Pike St & E Broadway,976
Pike St & Monroe St,546
Pitt St & Stanton St,518
Railroad Ave & Kay Ave,289
Reade St & Broadway,1344
Rivington St & Chrystie St,1832
Rivington St & Ridge St,1004
S 3 St & Bedford Ave,952
S 4 St & Wythe Ave,829
S 5 Pl & S 5 St,2179
S Portland Ave & Hanson Pl,444
Sands St & Navy St,159
Shevchenko Pl & E 7 St,727
South End Ave & Liberty St,557
South St & Gouverneur Ln,2262
South St & Whitehall St,1406
Spruce St & Nassau St,1594
St James Pl & Oliver St,999
St James Pl & Pearl St,686
St Marks Pl & 1 Ave,1771
St Marks Pl & 2 Ave,2647
Stanton St & Chrystie St,1846
Stanton St & Mangin St,626
State St & Smith St,1428
Suffolk St & Stanton St,1861
Sullivan St & Washington Sq,1802
University Pl & E 14 St,3007
Vesey Pl & River Terrace,3995
W 11 St & 6 Ave,1772
W 13 St & 5 Ave,605
W 13 St & 6 Ave,2138
W 13 St & 7 Ave,1660
W 14 St & The High Line,2946
W 15 St & 7 Ave,2860
W 16 St & The High Line,2275
W 17 St & 8 Ave,2230
W 18 St & 6 Ave,2132
W 20 St & 11 Ave,5742
W 20 St & 7 Ave,2375
W 20 St & 8 Ave,2161
W 21 St & 6 Ave,2570
W 22 St & 10 Ave,2603
W 22 St & 8 Ave,2088
W 24 St & 7 Ave,2345
W 25 St & 6 Ave,2239
W 26 St & 10 Ave,913
W 26 St & 8 Ave,1625
W 27 St & 7 Ave,2450
W 29 St & 9 Ave,1458
W 31 St & 7 Ave,1177
W 33 St & 7 Ave,2586
W 34 St & 11 Ave,1146
W 37 St & 10 Ave,1700
W 37 St & 5 Ave,2276
W 38 St & 8 Ave,2070
W 39 St & 9 Ave,2434
W 4 St & 7 Ave S,2767
W 41 St & 8 Ave,3125
W 42 St & 8 Ave,1622
W 43 St & 10 Ave,2364
W 43 St & 6 Ave,627
W 44 St & 5 Ave,1520
W 45 St & 6 Ave (1),1936
W 45 St & 8 Ave,471
W 46 St & 11 Ave,1616
W 47 St & 10 Ave,1984
W 49 St & 8 Ave,2782
W 51 St & 6 Ave,2203
W 52 St & 11 Ave,1854
